2021-02-19 21:15:00, car, 1
2021-02-19 21:30:00, car, 3
2021-02-19 21:30:00, motorcycle, 1
2021-02-19 21:30:00, truck, 3
2021-02-19 21:31:00, car, 7
2021-02-19 21:31:00, motorcycle, 1
2021-02-19 21:31:00, truck, 9
2021-02-19 21:31:00, bus, 4
2021-02-19 21:32:00, car, 10
2021-02-19 21:32:00, motorcycle, 3
2021-02-19 21:32:00, truck, 12
2021-02-19 21:32:00, bus, 4
2021-02-19 21:43:00, car, 1
2021-02-19 21:43:00, motorcycle, 1
2021-02-19 21:44:00, car, 5
2021-02-19 21:44:00, motorcycle, 1
2021-02-19 21:44:00, truck, 4
2021-02-19 21:45:00, car, 9
2021-02-19 21:45:00, motorcycle, 3
2021-02-19 21:45:00, truck, 10
2021-02-19 21:45:00, bus, 4
2021-02-19 21:52:00, car, 3
2021-02-19 21:52:00, motorcycle, 1
2021-02-19 21:52:00, truck, 3
2021-02-19 21:53:00, car, 7
2021-02-19 21:53:00, motorcycle, 1
2021-02-19 21:53:00, truck, 9
2021-02-19 21:53:00, bus, 3
2021-02-19 21:57:00, car, 2
2021-02-19 21:57:00, motorcycle, 1
2021-02-19 21:57:00, truck, 2
2021-02-19 21:58:00, car, 6
2021-02-19 21:58:00, motorcycle, 1
2021-02-19 21:58:00, truck, 7
2021-02-19 21:58:00, bus, 1
2021-02-19 21:59:00, car, 10
2021-02-19 21:59:00, motorcycle, 3
2021-02-19 21:59:00, truck, 11
2021-02-19 21:59:00, bus, 4
2021-02-19 22:00:00, car, 11
2021-02-19 22:00:00, motorcycle, 3
2021-02-19 22:00:00, truck, 14
2021-02-19 22:00:00, bus, 5
2021-02-19 22:01:00, car, 12
2021-02-19 22:01:00, motorcycle, 6
2021-02-19 22:01:00, truck, 17
2021-02-19 22:01:00, bus, 5
2021-02-19 22:02:00, car, 18
2021-02-19 22:02:00, motorcycle, 6
2021-02-19 22:02:00, truck, 19
2021-02-19 22:02:00, bus, 7
2021-02-19 22:03:00, car, 19
2021-02-19 22:03:00, motorcycle, 10
2021-02-19 22:03:00, truck, 25
2021-02-19 22:03:00, bus, 8
2021-02-19 22:04:00, car, 23
2021-02-19 22:04:00, motorcycle, 14
2021-02-19 22:04:00, truck, 29
2021-02-19 22:04:00, bus, 10
