2021-02-15 21:27:00, car, 1
2021-02-15 21:28:00, car, 6
2021-02-15 21:28:00, motorcycle, 1
2021-02-15 21:28:00, truck, 6
2021-02-15 21:29:00, car, 9
2021-02-15 21:29:00, motorcycle, 3
2021-02-15 21:29:00, truck, 11
2021-02-15 21:29:00, bus, 4
2021-02-15 21:30:00, car, 11
2021-02-15 21:30:00, motorcycle, 5
2021-02-15 21:30:00, truck, 14
2021-02-15 21:30:00, bus, 5
2021-02-15 21:33:00, car, 4
2021-02-15 21:33:00, motorcycle, 1
2021-02-15 21:33:00, truck, 3
2021-02-15 21:34:00, car, 9
2021-02-15 21:34:00, motorcycle, 3
2021-02-15 21:34:00, truck, 10
2021-02-15 21:34:00, bus, 4
